X,Y,Z
7.43323,36.1679,205.806
7.08725,36.1617,206.779
6.70927,36.148,207.753
6.30715,36.1288,208.728
5.88877,36.1057,209.705
5.46199,36.0806,210.682
5.03467,36.0554,211.66
4.61467,36.0318,212.639
4.20988,36.0116,213.619
3.82814,35.9966,214.6
3.47732,35.9888,215.581
3.16529,35.9898,216.562
2.89991,36.0015,217.544
2.68906,36.0257,218.526
2.54058,36.0641,219.509
2.46051,36.1197,220.485
2.43728,36.2003,221.456
2.46305,36.3042,222.43
2.53236,36.428,223.406
2.63973,36.5681,224.383
2.77971,36.721,225.362
2.94683,36.8831,226.343
3.13565,37.0509,227.323
3.34068,37.2209,228.305
3.55648,37.3895,229.286
3.77758,37.5531,230.267
3.99852,37.7084,231.248
4.21384,37.8516,232.228
4.41807,37.9793,233.207
4.60576,38.0879,234.184
4.77144,38.1738,235.16
4.90965,38.2337,236.133
5.01493,38.2638,237.104
5.08183,38.2607,238.073
5.10487,38.2209,239.038
5.07859,38.1407,240
4.98935,38.0026,240.991
4.83586,37.8029,241.981
4.62594,37.5484,242.968
4.3674,37.2461,243.954
4.06807,36.9031,244.938
3.73577,36.5263,245.92
3.37832,36.1227,246.901
3.00354,35.6992,247.88
2.61924,35.2629,248.858
2.23324,34.8207,249.834
1.85337,34.3796,250.809
1.48745,33.9466,251.782
1.14329,33.5287,252.754
0.828711,33.1328,253.724
0.551538,32.7659,254.693
0.319589,32.4351,255.661
0.140683,32.1472,256.627
0.0226386,31.9093,257.592
-0.0267236,31.7283,258.556
0.000415862,31.6112,259.519
0.116812,31.564,260.495
0.342614,31.5862,261.481
0.668451,31.6721,262.463
1.08246,31.8151,263.442
1.57282,32.0085,264.419
2.12769,32.2457,265.393
2.73524,32.5201,266.364
3.38364,32.8249,267.335
4.06104,33.1537,268.304
4.75562,33.4997,269.272
5.45553,33.8563,270.24
6.14895,34.2169,271.208
6.82404,34.5749,272.177
7.46895,34.9235,273.147
8.07187,35.2562,274.118
8.62095,35.5664,275.091
9.10435,35.8474,276.067
9.51025,36.0925,277.045
9.8268,36.2952,278.026
10.0422,36.4487,279.011
10.1445,36.5466,280
10.1318,36.5898,280.962
10.0191,36.591,281.926
9.81633,36.5548,282.891
9.5337,36.4854,283.858
9.1812,36.3874,284.827
8.76892,36.2653,285.797
8.30689,36.1234,286.768
7.80518,35.9663,287.741
7.27386,35.7983,288.715
6.72296,35.6239,289.691
6.16257,35.4477,290.668
5.60273,35.2739,291.646
5.0535,35.1071,292.625
4.52495,34.9517,293.605
4.02712,34.8123,294.586
3.57008,34.6931,295.569
3.16388,34.5987,296.552
2.81858,34.5335,297.536
2.54425,34.502,298.521
2.35094,34.5087,299.507
2.24674,34.5579,300.483
2.21693,34.6541,301.451
2.25098,34.7931,302.423
2.34184,34.9697,303.396
2.48244,35.1783,304.372
2.66572,35.4134,305.35
2.88462,35.6696,306.329
3.13209,35.9414,307.309
3.40105,36.2233,308.29
3.68446,36.5098,309.271
3.97525,36.7956,310.253
4.26635,37.0751,311.234
4.55072,37.3428,312.215
4.82129,37.5933,313.195
5.07099,37.8212,314.174
5.29278,38.0208,315.151
5.47957,38.1869,316.126
5.62433,38.3138,317.098
5.71998,38.3962,318.069
5.75947,38.4286,319.036
5.73573,38.4054,320
5.65018,38.3164,320.988
5.5152,38.1624,321.971
5.33527,37.9502,322.951
5.11486,37.6867,323.928
4.85846,37.3788,324.902
4.57054,37.0333,325.874
4.25557,36.6572,326.845
3.91804,36.2572,327.814
3.56241,35.8403,328.782
3.19316,35.4133,329.749
2.81477,34.9831,330.717
2.43172,34.5565,331.685
2.04848,34.1404,332.655
1.66953,33.7417,333.625
1.29934,33.3673,334.598
0.94239,33.0239,335.573
0.603156,32.7186,336.55
0.286102,32.4581,337.531
-0.00427249,32.2492,338.515
-0.263502,32.099,339.504
-0.488418,32.0127,340.48
-0.70644,31.9757,341.442
-0.925003,31.98,342.407
-1.14273,32.0217,343.375
-1.35826,32.097,344.345
-1.5702,32.2019,345.317
-1.7772,32.3326,346.291
-1.97786,32.485,347.267
-2.17083,32.6552,348.244
-2.35472,32.8395,349.222
-2.52817,33.0337,350.202
-2.6898,33.2341,351.182
-2.83823,33.4367,352.163
-2.9721,33.6376,353.144
-3.09002,33.8329,354.125
-3.19064,34.0187,355.106
-3.27256,34.191,356.086
-3.33443,34.3459,357.066
-3.37486,34.4796,358.045
-3.39248,34.5881,359.023
-3.38593,34.6674,360
-3.34379,34.7192,360.975
-3.25864,34.7493,361.951
-3.13507,34.7605,362.928
-2.9777,34.7553,363.904
-2.79113,34.7364,364.881
-2.57998,34.7064,365.859
-2.34885,34.6679,366.836
-2.10234,34.6236,367.813
-1.84508,34.5762,368.791
-1.58166,34.5282,369.768
-1.3167,34.4822,370.745
-1.0548,34.441,371.721
-0.800573,34.4071,372.698
-0.558627,34.3832,373.673
-0.33357,34.3719,374.649
-0.13001,34.3758,375.624
0.0474443,34.3977,376.598
0.194184,34.44,377.571
0.305601,34.5055,378.543
0.377087,34.5967,379.515
0.405154,34.7201,380.49
0.394136,34.8936,381.471
0.348137,35.1135,382.453
0.270775,35.3734,383.434
0.165667,35.6668,384.414
0.0364327,35.9873,385.395
-0.113311,36.3284,386.375
-0.279953,36.6836,387.355
-0.459861,37.0466,388.334
-0.649424,37.4107,389.313
-0.845024,37.7696,390.29
-1.04304,38.1167,391.267
-1.23986,38.4457,392.243
-1.43187,38.7501,393.218
-1.61544,39.0234,394.191
-1.78695,39.2591,395.163
-1.9428,39.4508,396.134
-2.07935,39.5921,397.103
-2.193,39.6763,398.07
-2.28012,39.6972,399.036
-2.33711,39.6482,400
-2.3667,39.5097,400.987
-2.3734,39.2777,401.971
-2.3595,38.9625,402.951
-2.32727,38.5742,403.929
-2.27903,38.1231,404.905
-2.21705,37.6193,405.878
-2.14362,37.0731,406.85
-2.06104,36.4946,407.821
-1.9716,35.8941,408.79
-1.87759,35.2818,409.76
-1.78129,34.6678,410.729
-1.68501,34.0625,411.698
-1.59102,33.4758,412.668
-1.50162,32.9182,413.639
-1.41911,32.3997,414.611
-1.34576,31.9306,415.585
-1.28388,31.5211,416.562
-1.23575,31.1814,417.54
-1.20366,30.9216,418.522
-1.18991,30.7521,419.506
-1.19649,30.681,420.482
-1.22279,30.6954,421.447
-1.26667,30.7845,422.414
-1.32593,30.9409,423.382
-1.39837,31.1568,424.351
-1.48176,31.4246,425.322
-1.57392,31.7366,426.294
-1.67262,32.0852,427.268
-1.77567,32.4627,428.242
-1.88085,32.8614,429.218
-1.98597,33.2737,430.194
-2.08881,33.6919,431.172
-2.18717,34.1084,432.15
-2.27884,34.5156,433.129
-2.36162,34.9057,434.109
-2.43329,35.2711,435.09
-2.49166,35.6041,436.071
-2.53451,35.8972,437.052
-2.55964,36.1425,438.035
-2.56485,36.3326,439.017
-2.54792,36.4597,440
-2.50598,36.5277,440.969
-2.43863,36.5514,441.94
-2.3487,36.5354,442.912
-2.23898,36.4843,443.885
-2.11231,36.4025,444.86
-1.97149,36.2947,445.835
-1.81933,36.1652,446.811
-1.65866,36.0188,447.788
-1.49228,35.8599,448.765
-1.32302,35.693,449.743
-1.15367,35.5228,450.721
-0.98707,35.3537,451.699
-0.82602,35.1903,452.677
-0.673336,35.0371,453.655
-0.531835,34.8987,454.633
-0.40433,34.7795,455.611
-0.293636,34.6843,456.587
-0.202566,34.6173,457.563
-0.133935,34.5834,458.539
-0.0905582,34.5868,459.513
-0.0749804,34.6332,460.489
-0.0865706,34.728,461.467
-0.122701,34.8665,462.446
-0.180708,35.0431,463.425
-0.257932,35.2521,464.405
-0.351709,35.4877,465.384
-0.459378,35.7444,466.363
-0.578277,36.0163,467.342
-0.705743,36.2978,468.321
-0.839116,36.5832,469.299
-0.975731,36.8667,470.277
-1.11293,37.1427,471.254
-1.24805,37.4055,472.23
-1.37842,37.6494,473.206
-1.50139,37.8686,474.18
-1.61431,38.0576,475.154
-1.71448,38.2104,476.126
-1.79927,38.3216,477.097
-1.866,38.3853,478.066
-1.91202,38.3959,479.034
-1.93466,38.3477,480
-1.9454,38.2263,480.986
-1.95613,38.0304,481.972
-1.96545,37.768,482.956
-1.97194,37.4475,483.94
-1.97421,37.077,484.923
-1.97085,36.6647,485.905
-1.96047,36.2188,486.886
-1.94166,35.7477,487.866
-1.91301,35.2593,488.845
-1.87314,34.7621,489.823
-1.82062,34.2642,490.799
-1.75407,33.7738,491.774
-1.67207,33.299,492.748
-1.57324,32.8483,493.72
-1.45615,32.4296,494.691
-1.31943,32.0513,495.66
-1.16165,31.7215,496.628
-0.981426,31.4486,497.593
-0.777335,31.2406,498.557
-0.548005,31.1058,499.52
-0.286836,31.0492,500.496
0.011804,31.0597,501.484
0.342427,31.131,502.47
0.702547,31.2575,503.454
1.08978,31.4337,504.434
1.50164,31.6541,505.413
1.93574,31.9132,506.39
2.38959,32.2055,507.365
2.86081,32.5255,508.339
3.34691,32.8677,509.311
3.84551,33.2266,510.283
4.3541,33.5967,511.254
4.87034,33.9724,512.224
5.39169,34.3484,513.194
5.91581,34.7189,514.165
6.44018,35.0787,515.135
6.96244,35.4221,516.106
7.48008,35.7436,517.078
7.99073,36.0378,518.051
8.4919,36.2991,519.025
8.98121,36.5221,520
9.48549,36.7191,520.974
10.0303,36.9071,521.947
10.6091,37.0866,522.919
11.2152,37.2581,523.89
11.8423,37.422,524.861
12.4836,37.5787,525.831
13.1327,37.7289,526.8
13.783,37.8729,527.771
14.428,38.0112,528.741
15.0611,38.1443,529.712
15.6759,38.2726,530.684
16.2656,38.3967,531.656
16.8238,38.517,532.63
17.344,38.6339,533.606
17.8196,38.748,534.583
18.2441,38.8598,535.563
18.6108,38.9696,536.544
18.9134,39.078,537.528
19.1451,39.1854,538.515
19.2995,39.2923,539.504
19.3683,39.3997,540.48
19.3471,39.5202,541.444
19.2437,39.6547,542.411
19.0662,39.8002,543.38
18.8224,39.9533,544.353
18.5205,40.1111,545.328
18.1683,40.2703,546.304
17.7738,40.4277,547.283
17.3449,40.5802,548.263
16.8897,40.7245,549.244
16.416,40.8577,550.225
15.932,40.9764,551.207
15.4454,41.0775,552.188
14.9642,41.1579,553.17
14.4966,41.2143,554.15
14.0503,41.2437,555.13
13.6333,41.2428,556.108
13.2537,41.2085,557.085
12.9194,41.1376,558.059
12.6383,41.0269,559.031
12.4184,40.8734,560
12.2461,40.6553,560.982
12.1066,40.3648,561.961
11.997,40.0097,562.938
11.9142,39.5983,563.913
11.8551,39.1387,564.885
11.8169,38.6389,565.857
11.7964,38.1071,566.827
11.7906,37.5514,567.796
11.7966,36.9798,568.765
11.8114,36.4006,569.734
11.8318,35.8217,570.703
11.8549,35.2514,571.673
11.8778,34.6977,572.645
11.8973,34.1687,573.617
11.9104,33.6726,574.592
11.9142,33.2174,575.568
11.9056,32.8112,576.547
11.8816,32.4623,577.53
11.8392,32.1786,578.515
11.7754,31.9682,579.504
11.6867,31.8375,580.481
11.5608,31.7658,581.446
11.3998,31.7432,582.418
11.2091,31.7659,583.394
10.9945,31.8299,584.375
10.7618,31.9312,585.359
10.5164,32.066,586.346
10.2642,32.2302,587.334
10.0108,32.4199,588.324
9.76181,32.6311,589.314
9.52302,32.8599,590.303
9.30006,33.1023,591.292
9.09861,33.3543,592.278
8.92434,33.6121,593.261
8.78293,33.8717,594.241
8.68006,34.129,595.216
8.6214,34.3802,596.186
8.61264,34.6213,597.151
8.65944,34.8483,598.108
8.76749,35.0572,599.058
8.94246,35.2443,600
9.23585,35.4377,601.015
9.64881,35.6369,602.02
10.1677,35.8412,603.015
10.7789,36.0496,604.002
11.4689,36.2616,604.981
12.2239,36.4763,605.954
13.0303,36.6929,606.921
13.8746,36.9107,607.885
14.7431,37.1289,608.845
15.6222,37.3468,609.803
16.4982,37.5635,610.76
17.3576,37.7782,611.716
18.1867,37.9904,612.674
18.972,38.199,613.634
19.6996,38.4035,614.598
20.3562,38.603,615.565
20.928,38.7967,616.538
21.4014,38.9839,617.517
21.7628,39.1638,618.504
21.9985,39.3356,619.499
22.0994,39.4972,620.476
22.1013,39.665,621.431
22.0199,39.8439,622.393
21.8619,40.0311,623.359
21.6341,40.2238,624.33
21.3431,40.4195,625.305
20.9959,40.6152,626.283
20.599,40.8083,627.264
20.1592,40.996,628.247
19.6834,41.1757,629.231
19.1782,41.3445,630.217
18.6504,41.4998,631.203
18.1068,41.6387,632.188
17.554,41.7586,633.173
16.9989,41.8567,634.157
16.4482,41.9303,635.139
15.9086,41.9766,636.118
15.3869,41.993,637.095
14.8898,41.9766,638.068
14.4241,41.9248,639.036
13.9966,41.8348,640
13.5746,41.6892,640.988
13.1467,41.4834,641.972
12.7135,41.2237,642.952
12.2761,40.9164,643.928
11.835,40.5677,644.901
11.3912,40.184,645.872
10.9454,39.7713,646.841
10.4985,39.3361,647.808
10.0511,38.8846,648.775
9.60423,38.423,649.741
9.15849,37.9576,650.708
8.71481,37.4947,651.675
8.27389,37.0406,652.643
7.83661,36.6014,653.613
7.4037,36.1835,654.586
6.97601,35.7932,655.561
6.55429,35.4366,656.54
6.13939,35.1202,657.523
5.73205,34.85,658.51
5.33312,34.6325,659.502
4.94858,34.4736,660.478
4.56199,34.3556,661.436
4.1647,34.2693,662.397
3.75948,34.2121,663.36
3.34898,34.1813,664.326
2.93597,34.1743,665.293
2.52311,34.1883,666.263
2.11317,34.2209,667.235
1.7088,34.2693,668.209
1.31278,34.3309,669.184
0.927743,34.403,670.161
0.556478,34.483,671.14
0.201634,34.5683,672.12
-0.13402,34.6561,673.102
-0.447824,34.7439,674.085
-0.737042,34.829,675.068
-0.998937,34.9088,676.053
-1.23084,34.9806,677.039
-1.43,35.0417,678.025
-1.59375,35.0896,679.012
-1.71933,35.1215,680
-1.79619,35.1388,680.965
-1.82384,35.1465,681.933
-1.80708,35.1462,682.904
-1.7507,35.1395,683.876
-1.65948,35.1279,684.851
-1.53822,35.113,685.827
-1.3917,35.0963,686.805
-1.22472,35.0794,687.783
-1.04207,35.0639,688.762
-0.848539,35.0513,689.742
-0.648906,35.0431,690.722
-0.447986,35.0409,691.703
-0.25054,35.0464,692.683
-0.061389,35.0609,693.662
0.114707,35.0861,694.641
0.272929,35.1236,695.619
0.408514,35.1748,696.596
0.516647,35.2414,697.571
0.592557,35.3249,698.544
0.63144,35.4268,699.515
0.629858,35.553,700.491
0.594247,35.7221,701.473
0.528993,35.9316,702.454
0.437451,36.1757,703.435
0.322952,36.4489,704.415
0.188861,36.7455,705.394
0.0385029,37.0601,706.372
-0.124753,37.387,707.35
-0.297588,37.7206,708.328
-0.476627,38.0553,709.304
-0.658552,38.3856,710.28
-0.839991,38.7058,711.255
-1.01762,39.0104,712.23
-1.18808,39.2937,713.204
-1.34804,39.5503,714.177
-1.49412,39.7745,715.149
-1.62302,39.9606,716.121
-1.73136,40.1032,717.092
-1.81581,40.1967,718.062
-1.87301,40.2354,719.031
-1.89964,40.2137,720
-1.89472,40.1207,720.982
-1.8612,39.9555,721.961
-1.80202,39.7256,722.938
-1.72013,39.4385,723.913
-1.61848,39.1017,724.886
-1.50003,38.7226,725.858
-1.36769,38.3087,726.829
-1.22446,37.8674,727.8
-1.07324,37.4063,728.77
-0.917007,36.9327,729.74
-0.758692,36.4542,730.71
-0.601263,35.9782,731.681
-0.447643,35.5121,732.653
-0.300804,35.0635,733.626
-0.163672,34.6398,734.6
-0.0392154,34.2485,735.576
0.0696378,33.897,736.555
0.159922,33.5928,737.535
0.228704,33.3433,738.519
0.273025,33.1561,739.505
0.290468,33.0365,740.481
0.284612,32.966,741.446
0.258494,32.936,742.413
0.214371,32.9429,743.381
0.154488,32.983,744.352
0.0811056,33.0528,745.325
-0.00353518,33.1485,746.299
-0.0971691,33.2667,747.274
-0.197559,33.4036,748.251
-0.302437,33.5556,749.229
-0.409568,33.7192,750.207
-0.516683,33.8905,751.187
-0.621547,34.0662,752.166
-0.721891,34.2424,753.146
-0.815479,34.4156,754.126
-0.900046,34.5822,755.106
-0.973351,34.7385,756.086
-1.03313,34.8808,757.066
-1.07714,35.0057,758.045
-1.10313,35.1094,759.023
-1.10885,35.1883,760
-1.09232,35.2457,760.975
-1.05465,35.2889,761.951
-0.998268,35.3196,762.927
-0.925554,35.3398,763.904
-0.838927,35.3511,764.881
-0.740778,35.3555,765.858
-0.633525,35.3548,766.836
-0.519555,35.3508,767.814
-0.401291,35.3453,768.792
-0.281118,35.3401,769.769
-0.161458,35.3371,770.747
-0.0446959,35.3381,771.724
0.0667453,35.3449,772.7
0.17048,35.3594,773.676
0.264094,35.3833,774.652
0.345178,35.4185,775.626
0.411341,35.4668,776.6
0.460171,35.53,777.573
0.489264,35.61,778.545
0.49622,35.7086,779.515
0.478044,35.8304,780.503
0.431542,35.9876,781.571
0.359191,36.1772,782.713
0.264042,36.3949,783.914
0.149138,36.6362,785.16
0.0175404,36.8969,786.439
-0.127686,37.1726,787.734
-0.283498,37.4587,789.034
-0.446855,37.7511,790.324
-0.614692,38.0452,791.591
-0.783941,38.3368,792.82
-0.951562,38.6213,793.997
-1.11452,38.8946,795.109
-1.26973,39.152,796.143
-1.41415,39.3894,797.083
-1.54473,39.6023,797.917
-1.65842,39.7863,798.63
-1.75216,39.937,799.209
-1.8229,40.0501,799.639
-1.86758,40.1211,799.907
-1.88315,40.1458,800
